serverguid,guid,oscaption,osversion,osarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps,sim_hash,sim_hash_without_apps
704b6158-463b-11ee-ad08-0050568fc659,038124a4-981f-415f-8063-e30aa4547c32,Microsoft Windows 7 Enterprise ,6.1.7601,32-bit,"Adobe Acrobat Reader 2017 MUI|Adobe Acrobat Reader 2017 MUI|Adobe Systems Incorporated|BarTender 2016 R7|BarTender 2016 R7|Seagull Scientific|Citrix XenApp Plugin for Hosted Apps|Citrix XenApp Plugin for Hosted Apps|Citrix Systems, Inc.|DameWare Mini Remote Control Client Agent Service|DameWare Mini Remote Control Client Agent Service|DameWare Development, LLC.|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Microscan ESP|Microscan ESP|Microscan|Oracle Data Provider for .NET Help|Oracle Data Provider for .NET Help|Oracle Corporation|StellarProtect|StellarProtect|TXOne|Symbol USB COM Port Emulation Driver version 1.8.5|Symbol USB COM Port Emulation Driver version 1.8.5|Symbol Technologies|UC232A_x86|UC232A_x86|ATEN|Windows Driver Package - Zebra Technologies Corp (cdcacmzebra) Ports  (05/12/2015 2.15.2.0)|Windows Driver Package - Zebra Technologies Corp (cdcacmzebra) Ports  (05/12/2015 2.15.2.0)|Zebra Technologies Corp|Windows MediaPlayer Config 1.0|Windows MediaPlayer Config 1.0|Infineon Technologies|Zebra CDC Driver (x86)|Zebra CDC Driver (x86)|Zebra Technologies",32343a7a7836414e414c6b566b5675683843375755433757536b6b6b69624233667658636642666366427265724a67433a7a59414e414768743278624233667658635a66635a726566,333a5247584b526a794d314b36616c414d57416a543032523a7a6a31724d5763343252,2899863684620129972,11283884729553888636
704b6158-463b-11ee-ad08-0050568fc659,0df44af6-9cdf-417b-854e-59fc37bb6223,Microsoft Windows 10 Enterprise 2015 LTSB,10.0.10240,64-bit,"64 Bit HP CIO Components Installer|64 Bit HP CIO Components Installer|HP Inc.|7-Zip 16.00 (x64)|7-Zip 16.00 (x64)|Igor Pavlov|Adobe Acrobat Reader DC|Adobe Acrobat Reader DC|Adobe Systems Incorporated|Adobe Refresh Manager|Adobe Refresh Manager|Adobe Systems Incorporated|Bomgar Jump Client 17.1.7 [pam.infineon.com] [5AF16C66]|Bomgar Jump Client 17.1.7 [pam.infineon.com] [5AF16C66]|Bomgar|Bomgar Jump Client 17.1.7 [pam.infineon.com] [5AF16D62]|Bomgar Jump Client 17.1.7 [pam.infineon.com] [5AF16D62]|Bomgar|Bomgar Jump Client 18.3.3 [pam.infineon.com] [5B27687A]|Bomgar Jump Client 18.3.3 [pam.infineon.com] [5B27687A]|Bomgar|Bomgar Jump Client 18.3.3 [pam.infineon.com] [5B34848C]|Bomgar Jump Client 18.3.3 [pam.infineon.com] [5B34848C]|Bomgar|CIM300|CIM300|Cimetrix|CIMConnect|CIMConnect|Cimetrix|CV-M9 Control Tool|CV-M9 Control Tool|JAI A-S|Catalyst Control Center InstallProxy|Catalyst Control Center InstallProxy|Advanced Micro Devices, Inc.|Cognex In-Sight Wafer ID 4.5.2|Cognex In-Sight Wafer ID 4.5.2|Cognex Corporation|DameWare Mini Remote Control Service|DameWare Mini Remote Control Service|SolarWinds|DevExpress DXperience 12.1|DevExpress DXperience 12.1|Developer Express Inc.|E84 Emulator 2.2|E84 Emulator 2.2|Get Control, Inc.|ESP|ESP|Microscan|Greenshot 1.2.10.6|Greenshot 1.2.10.6|Greenshot|HP QuickTest Professional|HP QuickTest Professional|HP|HP Run Results Viewer|HP Run Results Viewer|HP|HP Update|HP Update|Hewlett-Packard|IPMIView|IPMIView|SUPERMICRO|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 23.2.0.1006|Intel(R) Network Connections 23.2.0.1006|Intel|Java 8 Update 101|Java 8 Update 101|Oracle Corporation|Java Auto Updater|Java Auto Updater|Oracle Corporation|Lantronix DeviceInstaller 4.4.0.2 (x64)|Lantronix DeviceInstaller 4.4.0.2 (x64)|Lantronix|LibreOffice 6.1.1.2|LibreOffice 6.1.1.2|The Document Foundation|MATLAB Compiler Runtime 8.1|MATLAB Compiler Runtime 8.1|The MathWorks, Inc.|MATLAB Compiler Runtime 8.1 (32-bit)|MATLAB Compiler Runtime 8.1 (32-bit)|The MathWorks, Inc.|MATLAB Runtime 9.5|MATLAB Runtime 9.5|MathWorks|MOXA Smartio/Industio Windows Driver Ver1.23|MOXA Smartio/Industio Windows Driver Ver1.23|Moxa Inc.|NI Merge Modules for SPiiPlus MMI Application Studio 2.28 (x64)|NI Merge Modules for SPiiPlus MMI Application Studio 2.28 (x64)|ACS Motion Control|NSClient++ (Win32)|NSClient++ (Win32)|MySolutions NORDIC|Notepad++ (32-bit x86)|Notepad++ (32-bit x86)|Notepad++ Team|PowerChute Network Shutdown|PowerChute Network Shutdown|APC by Schneider Electric|Privileged Remote Access Jump Client 22.2.1 [pam.infineon.com] [628E5D06]|Privileged Remote Access Jump Client 22.2.1 [pam.infineon.com] [628E5D06]|BeyondTrust|RSU|RSU|Brooks Automation|SPiiPlusNT Suite 2.28|SPiiPlusNT Suite 2.28|ACS Motion Control|Secure Release Suite|Secure Release Suite|ondeso GmbH|Sentinel HASP Run-time|Sentinel HASP Run-time|SafeNet Inc.|Sentinel System Driver Installer 7.5.8|Sentinel System Driver Installer 7.5.8|SafeNet, Inc.|StellarProtect|StellarProtect|TXOne|Strawberry Perl|Strawberry Perl|strawberryperl.com project|Supermicro IPMI Configuration Utility|Supermicro IPMI Configuration Utility|Supermicro|Unlocker 1.9.1|Unlocker 1.9.1|Cedrick Collomb|VLC media player|VLC media player|VideoLAN|WinMerge 2.16.8.0 x64|WinMerge 2.16.8.0 x64|Thingamahoochie Software|Windows Driver Package - libusbK CCS (04/27/2014 3.0.7.0)|Windows Driver Package - libusbK CCS (04/27/2014 3.0.7.0)|libusbK|oCam version 515.0|oCam version 515.0|http://ohsoft.net/|smartmontools|smartmontools|smartmontools.org",39363a7a582f4832745332746f327448327444754175617562754c5a6e726e38614b6b664262425644647a624d6433546472786c4f3a6a2f577833454c5a724a4b6d647a624d6c6436,333a5247584b526a794d314b38764f6d744d57417456647155473139523a7a6a31684f434d575372533952,13482200264799835869,4397318670291166552
704b6158-463b-11ee-ad08-0050568fc659,18b4c9b1-6a17-4c19-93c0-2f02fdab165e,Microsoft Windows Embedded Standard ,6.1.7601,64-bit,AEGAEON technologies PostgreSQL(x64) 11.1.0|AEGAEON technologies PostgreSQL(x64) 11.1.0|AEGAEON technologies GmbH - Armin Schoeffmann|Adobe Acrobat Reader DC|Adobe Acrobat Reader DC|Adobe Systems Incorporated|Adobe Refresh Manager|Adobe Refresh Manager|Adobe Systems Incorporated|EPDetect V0.9.124_x64 (FPGA)|EPDetect V0.9.124_x64 (FPGA)|AEGAEON technologies GmbH|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 21.0.504.0|Intel(R) Network Connections 21.0.504.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) Rapid Storage Technology|Intel(R) Rapid Storage Technology|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Intel(R) USB 3.0 eXtensible Host Controller Driver|Intel(R) USB 3.0 eXtensible Host Controller Driver|Intel Corporation|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|RUPS2000|RUPS2000|Megatec|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Secure Release Suite|Secure Release Suite|ondeso GmbH|StellarProtect|StellarProtect|TXOne|Windows Driver Package - Silicon Laboratories Inc. (silabser) Ports  (03/28/2016 6.7.3.350)|Windows Driver Package - Silicon Laboratories Inc. (silabser) Ports  (03/28/2016 6.7.3.350)|Silicon Laboratories Inc.,32343a7a7841775132323232526e414f6b414f366b6f77386c584a6b6b6b714e4d574e4d30462f507650575750534150534e5739426f5739426f3072745039377256613a7a47436836416e41454c4f426f4f426f6d526852662b394b77647333457136,333a5247584b526a794d314b497242327a6a345a674c767a3a7a6a3152777a555a674c767a,13528508701788177338,1525041457480316304
704b6158-463b-11ee-ad08-0050568fc659,1c6d4eb3-8f06-4e35-80ce-271173a4fdc1,Microsoft Windows 10 Pro,10.0.19045,64-bit,ASM Deployment Agent Line (R21-1)|ASM Deployment Agent Line (R21-1)|ASM Assembly Systems|ASM Deployment Agent Line (R21-1) 1.3.0.31|ASM Deployment Agent Line (R21-1) 1.3.0.31|ASM Assembly Systems|ASM Error Reporter Service (R21-1)|ASM Error Reporter Service (R21-1)|ASM Assembly Systems|ASM Error Reporter Service (R21-1) 1.18.0.11|ASM Error Reporter Service (R21-1) 1.18.0.11|ASM Assembly Systems|ASM Generic Functions|ASM Generic Functions|ASM Assembly Systems|ASM License Manager (R21-1)|ASM License Manager (R21-1)|ASM Assembly Systems|ASM License Manager (R21-1) 4.10.0.14|ASM License Manager (R21-1) 4.10.0.14|ASM Assembly Systems|ASM Operation Manager Console (R21-1)|ASM Operation Manager Console (R21-1)|ASM Assembly Systems|ASM Operation Manager Console (R21-1) 1.20.0.2|ASM Operation Manager Console (R21-1) 1.20.0.2|ASM Assembly Systems|ASM YATS (R21-1)|ASM YATS (R21-1)|ASM Assembly Systems|ASM YATS 64-Bit (R21-1) 9.8.92.0|ASM YATS 64-Bit (R21-1) 9.8.92.0|ASM Assembly Systems|Adobe Reader X (10.1.4)|Adobe Reader X (10.1.4)|Adobe Systems Incorporated|DameWare Mini Remote Control Service|DameWare Mini Remote Control Service|SolarWinds|SAP Crystal Reports runtime engine for .NET Framework (32-bit)|SAP Crystal Reports runtime engine for .NET Framework (32-bit)|SAP|SAP Crystal Reports runtime engine for .NET Framework (64-bit)|SAP Crystal Reports runtime engine for .NET Framework (64-bit)|SAP|SIPLACE Pro (R21-1)|SIPLACE Pro (R21-1)|ASM Assembly Systems|SIPLACE Pro (R21-1) 19.0.3.91|SIPLACE Pro (R21-1) 19.0.3.91|ASM Assembly Systems|Secure Release Suite|Secure Release Suite|ondeso GmbH|Siemens.SiplacePro.DataAccessLayer.Server (Application Proxy)|Siemens.SiplacePro.DataAccessLayer.Server (Application Proxy)|Manufacturer|StellarProtect|StellarProtect|TXOne,34383a7a496b77324c4f444c4f4433474c334757336d4c78336d4c67516866774c474c684a354a564a6b6a764176637656762f6b426d4263642f2b7a2b6e33773a7a496b7633474c33475733513358516866394a77586d676364503377,333a5247584b526a794d314b3876625873523a7a6a31684c7352,17223080961250348564,3857679705993229617
704b6158-463b-11ee-ad08-0050568fc659,205d0cda-b754-4bbf-abcc-d4f7ebb39022,Microsoft Windows 7 Professional ,6.1.7601,32-bit,StellarProtect|StellarProtect|TXOne,333a5247584b526a794d314b3650586b4c51676a343275414a4b4e692b6a4e693549303a7a6a31583030677332755a4e69384e69356e,333a5247584b526a794d314b3650586b4c51676a3432523a7a6a3158303067733252,2030604807744309036,2101537740758573484
704b6158-463b-11ee-ad08-0050568fc659,24e27a70-e67a-4771-b716-524d2b69e95c,Microsoft Windows 7 Professional ,6.1.7601,32-Bit,"AutoID Network Navigator (DE)|AutoID Network Navigator (DE)|KEYENCE CORPORATION|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Intel(R) Network Connections 20.7.68.0|Intel(R) Network Connections 20.7.68.0|Intel|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|PKZIP Server for Windows 12.40.0008|PKZIP Server for Windows 12.40.0008|PKWARE, Inc|PenMount Windows Universal Driver V2.4.2.325|PenMount Windows Universal Driver V2.4.2.325|PenMount|Privileged Remote Access Jump Client 22.2.1 [pam.infineon.com] [60EECCD3]|Privileged Remote Access Jump Client 22.2.1 [pam.infineon.com] [60EECCD3]|BeyondTrust|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|SIMATIC  STEP 7|SIMATIC  STEP 7|Siemens AG|SIMATIC  STEP 7 V5.5 + SP1 Professional 2010 SR1  |SIMATIC  STEP 7 V5.5 + SP1 Professional 2010 SR1  |Siemens AG|SIMATIC S7-GRAPH|SIMATIC S7-GRAPH|Siemens AG|SIMATIC S7-PCT|SIMATIC S7-PCT|Siemens AG|SIMATIC S7-PCT V2.2 Professional 2010 SR1  |SIMATIC S7-PCT V2.2 Professional 2010 SR1  |Siemens AG|SIMATIC S7-PLCSIM|SIMATIC S7-PLCSIM|Siemens AG|SIMATIC S7-PLCSIM V5.4 + SP5 + Upd1 Professional 2010 SR1  |SIMATIC S7-PLCSIM V5.4 + SP5 + Upd1 Professional 2010 SR1  |Siemens AG|SIMATIC S7-SCL|SIMATIC S7-SCL|Siemens AG|SIMATIC WinCC flexible Runtime|SIMATIC WinCC flexible Runtime|Siemens AG|SIMATIC WinCC flexible Runtime 2008 SP3  |SIMATIC WinCC flexible Runtime 2008 SP3  |Siemens AG|Samsung Magician|Samsung Magician|Samsung Electronics|Secure Release Suite|Secure Release Suite|ondeso GmbH|Siemens Automation License Manager|Siemens Automation License Manager|Siemens AG|Siemens Automation License Manager V5.1 + SP1 + Upd3  |Siemens Automation License Manager V5.1 + SP1 + Upd3  |Siemens AG|StellarProtect|StellarProtect|TXOne|TeamViewer 12|TeamViewer 12|TeamViewer|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_N-L20) USB  (01/21/2015 2.0.2.19)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_N-L20) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-1000) USB  (09/07/2014 2.0.2.19)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-1000) USB  (09/07/2014 2.0.2.19)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-700) USB  (09/07/2014 2.0.2.19)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-700) USB  (09/07/2014 2.0.2.19)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-G100) USB  (01/21/2015 2.0.2.19)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-G100) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-LR1) USB  (01/21/2015 2.0.2.19)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-LR1) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-UB1) Ports  (08/05/2015 2.0.2.17)|Windows-Treiberpaket - KEYENCE CORPORATION (KEYENCE_SR-UB1) Ports  (08/05/2015 2.0.2.17)|KEYENCE CORPORATION|Windows-Treiberpaket - KEYENCE Corporation USB-Driver [N-UB] (12/10/2012 6.6.1.0)|Windows-Treiberpaket - KEYENCE Corporation USB-Driver [N-UB] (12/10/2012 6.6.1.0)|KEYENCE Corporation",34383a7a50314f426f4f426f6533704277425a6e7045797a31456750546d436d2b6a64664d5a3638336472526c6c69475a374d516a3a7a50315a5a653370427742416364303638336472526c6c69475a3776,333a5247584b526a794d314b3650586b4c51676a34573a7a6a31583030677357,255991512739771069,2101537740758573484
704b6158-463b-11ee-ad08-0050568fc659,27b5340c-cc2f-4516-99f3-0b3b514cf1c7,Microsoft Windows 10 Enterprise LTSC,10.0.17763,64-bit,CodeMeter Runtime Kit v5.22a|CodeMeter Runtime Kit v5.22a|WIBU-SYSTEMS AG|DameWare Mini Remote Control Service|DameWare Mini Remote Control Service|SolarWinds|HostInterfaceConnector 1.1.0|HostInterfaceConnector 1.1.0|Kontron AIS GmbH|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Intel(R) Management Engine Driver|Intel(R) Management Engine Driver|Intel Corporation|Notepad++ (64-bit x64)|Notepad++ (64-bit x64)|Notepad++ Team|Secure Release Suite|Secure Release Suite|ondeso GmbH|StellarProtect|StellarProtect|TXOne|TeamViewer Host|TeamViewer Host|TeamViewer|TightVNC|TightVNC|GlavSoft LLC.,31323a7a787343386b3975644a6e4c6156376f57794c32526c686671487a6b71487a71486c4866756e6b756e706a32647333534c3a7a784f4c6156376f575532526e6b6b6b71462f756e6b756e706a32647333534c,333a5247584b526a794d314b38764f6d744d5741547842617854526e523a7a6a31684f434d57735477547852,9051789935767324331,948145471879487825
704b6158-463b-11ee-ad08-0050568fc659,29fed3fb-4fdd-4aa4-b0c0-b75993d53797,Microsoft Windows Embedded Standard ,6.1.7601,64-bit,"7-Zip 22.01 (x64 edition)|7-Zip 22.01 (x64 edition)|Igor Pavlov|ADI Driver (APC2100/PPC2100)|ADI Driver (APC2100/PPC2100)|Bernecker + Rainer Industrie-Elektronik Ges.m.b.H.|Automation Runtime ARwin H4.23|Automation Runtime ARwin H4.23|Bernecker + Rainer Industrie Elektronik Ges.m.b.H.|DameWare Mini Remote Control Service|DameWare Mini Remote Control Service|SolarWinds|FileZilla Server|FileZilla Server|FileZilla Project|IOSS Config Starter Installation|IOSS Config Starter Installation|IOSS GmbH|IOSS WID120 Installation|IOSS WID120 Installation|IOSS GmbH|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.|Java(TM) 6 Update 18|Java(TM) 6 Update 18|Sun Microsystems, Inc.|Notepad++|Notepad++|Notepad++ Team|Secure Release Suite|Secure Release Suite|ondeso GmbH|StellarProtect|StellarProtect|TXOne|TightVNC|TightVNC|GlavSoft LLC.|Touch Driver|Touch Driver|Bernecker + Rainer Industrie-Elektronik Ges.m.b.H.|Zabbix Agent 2 (64-bit)|Zabbix Agent 2 (64-bit)|Zabbix SIA",32343a7a7841774d6b302b6e496c6f5755446c6d6c6d2b692b6e4c754c2b504e7879647333704442743a7a477755673175692b6e4c754c2b66796473337458,333a5247584b526a794d314b497242327a6a345a674c767a3a7a6a3152777a555a674c767a,13096017844268834460,1525041457480316304
704b6158-463b-11ee-ad08-0050568fc659,2f7be636-8b60-4416-8f58-840768d9aeb9,Microsoft Windows 7 Professional ,6.1.7601,64-bit,StellarProtect|StellarProtect|TXOne,333a5247584b526a794d314b3650586b4c51676a343852414a4b4e692b6a4e693549303a7a6a31583030677338525a4e69384e69356e,333a5247584b526a794d314b3650586b4c51676a347a3a7a6a3158303067737a,2030604824925226856,2107167239163995616
704b6158-463b-11ee-ad08-0050568fc659,309d8a47-9b18-48dc-b6fa-998351af3e50,Microsoft Windows 7 Enterprise ,6.1.7601,32-bit,"Adobe Acrobat Reader 2017 MUI|Adobe Acrobat Reader 2017 MUI|Adobe Systems Incorporated|AutoID Network Navigator|AutoID Network Navigator|KEYENCE CORPORATION|BarTender 2016 R7|BarTender 2016 R7|Seagull Scientific|Citrix XenApp Plugin for Hosted Apps|Citrix XenApp Plugin for Hosted Apps|Citrix Systems, Inc.|DameWare Mini Remote Control Client Agent Service|DameWare Mini Remote Control Client Agent Service|DameWare Development, LLC.|FileView|FileView|KEYENCE CORPORATION|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|Intel(R) USB 3.0\3.1 eXtensible Host Controller Driver|Intel(R) USB 3.0\3.1 eXtensible Host Controller Driver|Intel Corporation|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|LBAI|LBAI|Lenovo Group Limited|Microscan ESP|Microscan ESP|Microscan|MultiMonitor|MultiMonitor|KEYENCE CORPORATION|Oracle Data Provider for .NET Help|Oracle Data Provider for .NET Help|Oracle Corporation|PL-2303 USB-to-Serial|PL-2303 USB-to-Serial|Prolific Technology INC|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|SR Design Tool|SR Design Tool|KEYENCE CORPORATION|SR Management Tool|SR Management Tool|KEYENCE CORPORATION|StellarProtect|StellarProtect|TXOne|Symbol USB COM Port Emulation Driver version 1.8.5|Symbol USB COM Port Emulation Driver version 1.8.5|Symbol Technologies|UC232A_Win 7_32bit|UC232A_Win 7_32bit|Aten International Co., Ltd.|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_N-L20) USB  (01/21/2015 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_N-L20) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-1000) USB  (09/07/2014 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-1000) USB  (09/07/2014 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-2000) USB  (01/21/2015 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-2000) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-5000) USB  (10/28/2019 2.0.3.1)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-5000) USB  (10/28/2019 2.0.3.1)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-700) USB  (09/07/2014 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-700) USB  (09/07/2014 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-G100) USB  (01/21/2015 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-G100) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-LR1) USB  (01/21/2015 2.0.2.19)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-LR1) USB  (01/21/2015 2.0.2.19)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-UB1) Ports  (08/05/2015 2.0.2.17)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-UB1) Ports  (08/05/2015 2.0.2.17)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-UR1) Ports  (11/05/2019 2.0.2.17)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-UR1) Ports  (11/05/2019 2.0.2.17)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-X1h3h) USB  (07/26/2021 2.0.3.1)|Windows Driver Package - KEYENCE CORPORATION (KEYENCE_SR-X1h3h) USB  (07/26/2021 2.0.3.1)|KEYENCE CORPORATION|Windows Driver Package - KEYENCE Corporation USB-Driver [N-UB] (12/10/2012 6.6.1.0)|Windows Driver Package - KEYENCE Corporation USB-Driver [N-UB] (12/10/2012 6.6.1.0)|KEYENCE Corporation|Windows Driver Package - Microscan (MicroscanUSBLAN) Net  (12/14/2015 02.04.09.001)|Windows Driver Package - Microscan (MicroscanUSBLAN) Net  (12/14/2015 02.04.09.001)|Microscan|Windows MediaPlayer Config 1.0|Windows MediaPlayer Config 1.0|Infineon Technologies",39363a7a3932715a444b7062387355336676656d77704a5351673651362f4a62335a3956433451364865643a4232715a444b7062386c7635306564,333a5247584b526a794d314b36616c414d57416a543032523a7a6a31724d5763343252,10024576113882960559,11283884729553888636
