serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
7782705a-92f0-11ed-b403-0050569b1a81,00d7cee9-c92c-4d3a-898a-c2044378218e,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Harvester - Agilis Logger Plugin|Harvester - Agilis Logger Plugin|Diebold Nixdorf|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Application Installation Utility|Application Installation Utility|Diebold|Java Runtime Environment 1.0.8_51 for ProBase|Java Runtime Environment 1.0.8_51 for ProBase|Wincor Nixdorf International GmbH|Harvester - Harvester Service|Harvester - Harvester Service|Diebold Nixdorf|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Harvester - Diagnostic Service Plugin|Harvester - Diagnostic Service Plugin|Diebold Nixdorf|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf International GmbH|InstallDriver32bitOS|InstallDriver32bitOS|duali|Harvester - System Inventory Plugin|Harvester - System Inventory Plugin|Diebold Nixdorf|Harvester - Flight Record Plugin|Harvester - Flight Record Plugin|Diebold Nixdorf|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Intel(R) Control Center|Intel(R) Control Center|Intel Corporation|Symantec SHA256 Code Signing CA Certificate|Symantec SHA256 Code Signing CA Certificate|Diebold|Java(TM) 6 Update 30|Java(TM) 6 Update 30|Oracle|Harvester - EventLog Plugin|Harvester - EventLog Plugin|Diebold Nixdorf|Harvester - Retail Device Plugin|Harvester - Retail Device Plugin|Diebold Nixdorf|Harvester - Legacy Device Plugin|Harvester - Legacy Device Plugin|Diebold Nixdorf|Java 7 Update 45|Java 7 Update 45|Oracle|Harvester - Service Call History Plugin|Harvester - Service Call History Plugin|Diebold Nixdorf|Harvester - DbdDfs Plugin|Harvester - DbdDfs Plugin|Diebold Nixdorf|StellarProtect|StellarProtect|TXOne|Microsoft Root Certificate x32|Microsoft Root Certificate x32|Diebold|Harvester - AMI Plugin|Harvester - AMI Plugin|Diebold Nixdorf",34383a57733048306e75747571546f31393158567232474369436d52584e5043684973416d696d544230434730434b43354347416c79447077704c334d4457433743493a5779636f3532476c3152585638303730446b30334d44573644,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,010f7208-4f79-495d-828d-fb6681ef3544,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf International GmbH|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Harvester - Legacy Device Plugin|Harvester - Legacy Device Plugin|Diebold Nixdorf|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.|InstallDriver32bitOS|InstallDriver32bitOS|duali|Symantec SHA256 Code Signing CA Certificate|Symantec SHA256 Code Signing CA Certificate|Diebold|Application Installation Utility|Application Installation Utility|Diebold|Harvester - System Inventory Plugin|Harvester - System Inventory Plugin|Diebold Nixdorf|Java 7 Update 45|Java 7 Update 45|Oracle|Intel(R) Control Center|Intel(R) Control Center|Intel Corporation|Harvester - Service Call History Plugin|Harvester - Service Call History Plugin|Diebold Nixdorf|Java Runtime Environment 1.0.8_51 for ProBase|Java Runtime Environment 1.0.8_51 for ProBase|Wincor Nixdorf International GmbH|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Harvester - AMI Plugin|Harvester - AMI Plugin|Diebold Nixdorf|Java(TM) 6 Update 30|Java(TM) 6 Update 30|Oracle|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|StellarProtect|StellarProtect|TXOne|Microsoft Root Certificate x32|Microsoft Root Certificate x32|Diebold|Harvester - Agilis Logger Plugin|Harvester - Agilis Logger Plugin|Diebold Nixdorf|Harvester - Retail Device Plugin|Harvester - Retail Device Plugin|Diebold Nixdorf|Harvester - DbdDfs Plugin|Harvester - DbdDfs Plugin|Diebold Nixdorf|Harvester - Diagnostic Service Plugin|Harvester - Diagnostic Service Plugin|Diebold Nixdorf|Harvester - Flight Record Plugin|Harvester - Flight Record Plugin|Diebold Nixdorf|Harvester - Harvester Service|Harvester - Harvester Service|Diebold Nixdorf|Harvester - EventLog Plugin|Harvester - EventLog Plugin|Diebold Nixdorf",34383a57734d7574756852586d4335433454724347416e794731393158504337437a6c6d35334d4469304830423043473043447077704c43694368496f3254493a57734d633052586d6b2b50365759334d444f303730646c386e,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,01406480-d2a3-45f7-bf45-89227f550343,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Symantec SHA256 Code Signing CA Certificate|Symantec SHA256 Code Signing CA Certificate|Diebold|Harvester - Flight Record Plugin|Harvester - Flight Record Plugin|Diebold Nixdorf|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf International GmbH|Harvester - EventLog Plugin|Harvester - EventLog Plugin|Diebold Nixdorf|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Harvester - System Inventory Plugin|Harvester - System Inventory Plugin|Diebold Nixdorf|Harvester - Retail Device Plugin|Harvester - Retail Device Plugin|Diebold Nixdorf|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Application Installation Utility|Application Installation Utility|Diebold|Harvester - Harvester Service|Harvester - Harvester Service|Diebold Nixdorf|InstallDriver32bitOS|InstallDriver32bitOS|duali|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Java Runtime Environment 1.0.8_51 for ProBase|Java Runtime Environment 1.0.8_51 for ProBase|Wincor Nixdorf International GmbH|StellarProtect|StellarProtect|TXOne|Intel(R) Control Center|Intel(R) Control Center|Intel Corporation|Microsoft Root Certificate x32|Microsoft Root Certificate x32|Diebold|Java 7 Update 45|Java 7 Update 45|Oracle|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Harvester - Service Call History Plugin|Harvester - Service Call History Plugin|Diebold Nixdorf|Harvester - DbdDfs Plugin|Harvester - DbdDfs Plugin|Diebold Nixdorf|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Harvester - Legacy Device Plugin|Harvester - Legacy Device Plugin|Diebold Nixdorf|Java(TM) 6 Update 30|Java(TM) 6 Update 30|Oracle|Harvester - Agilis Logger Plugin|Harvester - Agilis Logger Plugin|Diebold Nixdorf|Harvester - Diagnostic Service Plugin|Harvester - Diagnostic Service Plugin|Diebold Nixdorf|Harvester - AMI Plugin|Harvester - AMI Plugin|Diebold Nixdorf",34383a5765496d525856525474434230434730437254694866313931584d33474473414c75747538794470777073416d414335437a433048304c43694351433743493a574752582b3037304e48524d3347444a63486b57716c6c3644,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,014fe8e6-fbdb-4c76-bbdc-d010bc0d1a5a,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf International GmbH|Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|Java 7 Update 75|Java 7 Update 75|Oracle|Java Auto Updater|Java Auto Updater|Oracle, Inc.|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|InstallDriver32bitOS|InstallDriver32bitOS|duali|StellarProtect|StellarProtect|TXOne|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Java Runtime Environment 1.0.7_55 for ProBase|Java Runtime Environment 1.0.7_55 for ProBase|Wincor Nixdorf International GmbH",32343a57787a42324258584e4d574e4d5572554e7653464f426342716e446e58484d376537526f513033644b32447535636f447535634579503979506e58683a57336f582f72596d324e3633644b6d7574757479503979505868,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,018d0a3a-b61c-4589-9b99-483592c023d2,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Java Auto Updater|Java Auto Updater|Oracle, Inc.|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|Java 7 Update 75|Java 7 Update 75|Oracle|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf International GmbH|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Java Runtime Environment 1.0.7_55 for ProBase|Java Runtime Environment 1.0.7_55 for ProBase|Wincor Nixdorf International GmbH|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|InstallDriver32bitOS|InstallDriver32bitOS|duali|StellarProtect|StellarProtect|TXOne|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH",32343a577836654e767953447535636f4475356350376537526b4e4d574e4d55726b4b714232425858466e79503979506e58324263426551303345446e446e58683a5761367574756e71726b4b386f586c795039795058326d53335168,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,01fa6b94-dd5e-48e7-962b-a409d0d347b2,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Harvester - Flight Record Plugin|Harvester - Flight Record Plugin|Diebold Nixdorf|Harvester - Diagnostic Service Plugin|Harvester - Diagnostic Service Plugin|Diebold Nixdorf|Harvester - Agilis Logger Plugin|Harvester - Agilis Logger Plugin|Diebold Nixdorf|Harvester - DbdDfs Plugin|Harvester - DbdDfs Plugin|Diebold Nixdorf|StellarProtect|StellarProtect|TXOne|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Harvester - Service Call History Plugin|Harvester - Service Call History Plugin|Diebold Nixdorf|Intel(R) Control Center|Intel(R) Control Center|Intel Corporation|Harvester - EventLog Plugin|Harvester - EventLog Plugin|Diebold Nixdorf|Harvester - Retail Device Plugin|Harvester - Retail Device Plugin|Diebold Nixdorf|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Application Installation Utility|Application Installation Utility|Diebold|Microsoft Root Certificate x32|Microsoft Root Certificate x32|Diebold|Harvester - AMI Plugin|Harvester - AMI Plugin|Diebold Nixdorf|InstallDriver32bitOS|InstallDriver32bitOS|duali|Harvester - System Inventory Plugin|Harvester - System Inventory Plugin|Diebold Nixdorf|Symantec SHA256 Code Signing CA Certificate|Symantec SHA256 Code Signing CA Certificate|Diebold|Java(TM) 6 Update 30|Java(TM) 6 Update 30|Oracle|Java 7 Update 45|Java 7 Update 45|Oracle|Java Runtime Environment 1.0.8_51 for ProBase|Java Runtime Environment 1.0.8_51 for ProBase|Wincor Nixdorf International GmbH|Harvester - Legacy Device Plugin|Harvester - Legacy Device Plugin|Diebold Nixdorf|Harvester - Harvester Service|Harvester - Harvester Service|Diebold Nixdorf|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf International GmbH",34383a5756494c43694334304830447077704c336a6d324e79655442304347304349544344574337437750434f4d41693139315856544335436f6536757475685258683a57636c4533507630373051445736722b686b62666330525868,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,0276f2a0-29e4-4973-be97-c518602aee81,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"SNTouch Driver For USB & Serial 4.0A|SNTouch Driver For USB & Serial 4.0A|SEMNTECH|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Asmedia ASM106x SATA Host Controller Driver|Asmedia ASM106x SATA Host Controller Driver|Asmedia Technology|Platform|Platform|VIA Technologies, Inc.|Asmedia ASM104x USB 3.0 Host Controller Driver|Asmedia ASM104x USB 3.0 Host Controller Driver|Asmedia Technology|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Notepad++|Notepad++|Notepad++ Team|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Realtek PC Camera|Realtek PC Camera|Realtek Semiconductor Corp.|PL-2303 USB-to-Serial|PL-2303 USB-to-Serial|Prolific Technology INC|InstallDriver32bitOS|InstallDriver32bitOS|duali|StellarProtect|StellarProtect|TXOne|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|VIA Platform Device Manager|VIA Platform Device Manager|VIA Technologies, Inc.|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|ProAgent 1.2/50 |ProAgent 1.2/50 |Wincor Nixdorf|Adobe Flash Player 9 ActiveX|Adobe Flash Player 9 ActiveX|Adobe Systems, Inc.|Windows Driver Package - Exar Corporation (Ser15x) Ports  (06/14/2012 2.5.0.0)|Windows Driver Package - Exar Corporation (Ser15x) Ports  (06/14/2012 2.5.0.0)|Exar Corporation|Windows Driver Package - Exar Corporation MultiPortSerial  (06/14/2012 2.5.0.0)|Windows Driver Package - Exar Corporation MultiPortSerial  (06/14/2012 2.5.0.0)|Exar Corporation|Atheros Communications Inc.(R) AR81Family Gigabit/Fast Ethernet Driver|Atheros Communications Inc.(R) AR81Family Gigabit/Fast Ethernet Driver|Atheros Communications Inc.",34383a57463368505268527373574b386d776d3333337675747542426f4f426f49596c414545483a5746336850504b4b476d48337663585a495943454548,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,02c48790-d8c9-4892-8b1a-7b0e61e8b357,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"InstallDriver32bitOS|InstallDriver32bitOS|duali|Java 7 Update 75|Java 7 Update 75|Oracle|Java Auto Updater|Java Auto Updater|Oracle, Inc.|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf J/Install V6.4/00 (Build 002322)|Wincor Nixdorf International GmbH|Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|StellarProtect|StellarProtect|TXOne|Java Runtime Environment 1.0.7_55 for ProBase|Java Runtime Environment 1.0.7_55 for ProBase|Wincor Nixdorf International GmbH",32343a57786b514e72554e7674376537526b46714b2f6e446e5877447535636f447535635842324258584e4d574e4d6442634237336579503979506e58683a574a726c6c4b444d757475346f584d6d35336579503979505868,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,02c5ffa2-8f43-4836-a1b3-03bbf81891f4,,Microsoft Windows 7 Professional ,6.1.7601,,32-bit,,"Java 7 Update 45|Java 7 Update 45|Oracle|Java Runtime Environment 1.0.8_51 for ProBase|Java Runtime Environment 1.0.8_51 for ProBase|Wincor Nixdorf International GmbH|Harvester - DbdDfs Plugin|Harvester - DbdDfs Plugin|Diebold Nixdorf|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf J/Install V6.0/00 (Build 002295)|Wincor Nixdorf International GmbH|Harvester - Diagnostic Service Plugin|Harvester - Diagnostic Service Plugin|Diebold Nixdorf|Harvester - Agilis Logger Plugin|Harvester - Agilis Logger Plugin|Diebold Nixdorf|Symantec SHA256 Code Signing CA Certificate|Symantec SHA256 Code Signing CA Certificate|Diebold|Harvester - Service Call History Plugin|Harvester - Service Call History Plugin|Diebold Nixdorf|Harvester - Flight Record Plugin|Harvester - Flight Record Plugin|Diebold Nixdorf|Wincor Nixdorf ProBase|Wincor Nixdorf ProBase|Wincor Nixdorf International GmbH|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Java(TM) 6 Update 30|Java(TM) 6 Update 30|Oracle|Harvester - Legacy Device Plugin|Harvester - Legacy Device Plugin|Diebold Nixdorf|Microsoft Root Certificate x32|Microsoft Root Certificate x32|Diebold|Harvester - Harvester Service|Harvester - Harvester Service|Diebold Nixdorf|Intel(R) Control Center|Intel(R) Control Center|Intel Corporation|InstallDriver32bitOS|InstallDriver32bitOS|duali|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Windows Driver Package - Duali Inc. Korea (BULKUSB) USB  (01/08/2012 2.3.0.1)|Duali Inc. Korea|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|Windows Driver Package - DUALI (DESCARD0-SERVICE) SmartCardReader  (05/22/2012 1.5.0.0)|DUALI|Harvester - EventLog Plugin|Harvester - EventLog Plugin|Diebold Nixdorf|StellarProtect|StellarProtect|TXOne|Harvester - AMI Plugin|Harvester - AMI Plugin|Diebold Nixdorf|Intel(R) Graphics Media Accelerator Driver|Intel(R) Graphics Media Accelerator Driver|Intel Corporation|Harvester - System Inventory Plugin|Harvester - System Inventory Plugin|Diebold Nixdorf|Application Installation Utility|Application Installation Utility|Diebold|Harvester - Retail Device Plugin|Harvester - Retail Device Plugin|Diebold Nixdorf|Java Auto Updater|Java Auto Updater|Sun Microsystems, Inc.",34383a5779416931393158564b7077706d5258564d4369433430483059796849347651433543684d5a444734757475496d32544c336f4337437443735462304347302f3a576b6d5258616c6876516b78444734636e336f36363037302f,333a6b4f596a794d314b3650586b4c51676a347758486a3a576a3158303067736b
7782705a-92f0-11ed-b403-0050569b1a81,02fd25f2-8ba8-40eb-8554-2442db4d66ad,,Microsoft Windows 10 Enterprise 2016 LTSB,10.0.14393,,64-bit,,Intel(R) ME UninstallLegacy|Intel(R) ME UninstallLegacy|Intel Corporation|UBReader(FVR) driver (HOTS API driver)|UBReader(FVR) driver (HOTS API driver)|Hitachi-Omron Terminal Solutions|Realtek High Definition Audio Driver|Realtek High Definition Audio Driver|Realtek Semiconductor Corp.|Windows Driver Package - HwayoungSystems Software (MagTmIrUSB) Mouse  (11/19/2017 5.0.2.0)|Windows Driver Package - HwayoungSystems Software (MagTmIrUSB) Mouse  (11/19/2017 5.0.2.0)|HwayoungSystems Software|Intel® Online Connect Access|Intel® Online Connect Access|Intel|StellarProtect|StellarProtect|TXOne|Intel® Trusted Connect Service Client|Intel® Trusted Connect Service Client|Intel Corporation|Realtek Ethernet Controller Driver|Realtek Ethernet Controller Driver|Realtek|Windows Driver Package - Exar Corporation (xrusbser) Ports  (11/18/2014 2.2.0.0)|Windows Driver Package - Exar Corporation (xrusbser) Ports  (11/18/2014 2.2.0.0)|Exar Corporation|Windows Driver Package - HITACHI (RHUSB) USB  (08/26/2021 15.164.34.11)|Windows Driver Package - HITACHI (RHUSB) USB  (08/26/2021 15.164.34.11)|HITACHI|InstallDriver64bit_Sign|InstallDriver64bit_Sign|Duali|PL-2303 USB-to-Serial|PL-2303 USB-to-Serial|Prolific Technology INC|Microsoft VC++ redistributables repacked.|Microsoft VC++ redistributables repacked.|Intel Corporation|Intel(R) Network Connections|Intel(R) Network Connections|Intel|Zebra CoreScanner Driver (64bit)|Zebra CoreScanner Driver (64bit)|Zebra Technologies|Intel(R) Processor Graphics|Intel(R) Processor Graphics|Intel Corporation|MagicPoint USB(IR) V2.5.2(for AMD64)|MagicPoint USB(IR) V2.5.2(for AMD64)|HwayoungSystems|PL23XX USB-to-Serial|PL23XX USB-to-Serial|Prolific Technology INC|Intel(R) Chipset Device Software|Intel(R) Chipset Device Software|Intel Corporation|Intel(R) Network Connections 21.1.30.0|Intel(R) Network Connections 21.1.30.0|Intel|Intel(R) Management Engine Components|Intel(R) Management Engine Components|Intel Corporation|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel(R) SDK for OpenCL - CPU Only Runtime Package|Intel Corporation|Windows Driver Package - DUALI (DESCARD0x64-SERVICE) SmartCardReader  (01/14/2016 1.8.0.0)|Windows Driver Package - DUALI (DESCARD0x64-SERVICE) SmartCardReader  (01/14/2016 1.8.0.0)|DUALI|Windows Driver Package - Duali Inc. Korea (DUALI_BULKUSB) USB  (12/15/2015 2.3.0.2)|Windows Driver Package - Duali Inc. Korea (DUALI_BULKUSB) USB  (12/15/2015 2.3.0.2)|Duali Inc. Korea|ATM VDA Program|ATM VDA Program|Hitachi Omron Terminal Solutions Ltd.|Intel® Online Connect|Intel® Online Connect|Intel Corporation|Intel(R) Online Connect Software Asset Manager|Intel(R) Online Connect Software Asset Manager|Intel Corporation|Zebra Scanner SDK (64bit)|Zebra Scanner SDK (64bit)|Zebra Technologies|Windows Driver Package - Zebra Technologies Inc. (WinUSB) WinUSB devices  (05/12/2015 1.0.0.5)|Windows Driver Package - Zebra Technologies Inc. (WinUSB) WinUSB devices  (05/12/2015 1.0.0.5)|Zebra Technologies Inc.,34383a57785446306c7233644b504a5a745a33493350507a5a504f4d6a426f4f426f3770552b49526852554364432b5558354673633963513a576b33644b506a49666c324d6d5a6a49506c302b557046357151,333a6b4f596a794d314b38764f6d744d574174563278466247364b693a576a31684f434d5753677a766a
