serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,apps,fuzzy_hash,fuzzy_hash_without_apps
f3b4a36a-05d1-11ee-900f-00505699f5f7,150c9fcd-50fe-4409-82af-a1e6a18798e7,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,"VMware Tools|VMware Tools|VMware, Inc.|Chrome|Chrome|Google LLC|StellarProtect|StellarProtect|TXOne",333a6b4f596a794d314b3650586b4c5167555455447758486c41514c76434c76434c70574159465441636b5370356a4e692b6a4e693549303a576a315830306755734d4f5752534d492f6a4e69384e69356e,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
f3b4a36a-05d1-11ee-900f-00505699f5f7,19c6170d-7422-457e-96bf-91ca3d7d7d1a,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,"StellarProtect|StellarProtect|TXOne|OPC Core Components Redistributable (x86) 101.2|OPC Core Components Redistributable (x86) 101.2|OPC Foundation|Chrome|Chrome|Google LLC|VMware Tools|VMware Tools|VMware, Inc.|OPC UA SDK 1.1 Redistributables 331.0|OPC UA SDK 1.1 Redistributables 331.0|OPC Foundation|IGSS32 10.0|IGSS32 10.0|7-Technologies A/S",363a576a31583030675573745a4e69384e69357a41556967504e374d6a4441556967504e374d6a34534d49494f572b4d754f5544754f55726f5262736e3a5778334c4733674e69634f4e6963544f572b34553955305262736e,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
f3b4a36a-05d1-11ee-900f-00505699f5f7,1e8cd844-0239-4564-9d47-8be3078a53fa,,Microsoft Windows 10 Pro,10.0.19045,,64비트,,"Npcap|Npcap|Nmap Project|IGSS32 16.0|IGSS32 16.0|Schneider Electric Danmark A/S|pgAdmin III 1.14|pgAdmin III 1.14|The pgAdmin Development Team|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|Wireshark 4.0.4 64-bit|Wireshark 4.0.4 64-bit|The Wireshark developer community, https://www.wireshark.org|Modbus Slave 8.2.1|Modbus Slave 8.2.1|Witte Software|StellarProtect|StellarProtect|TXOne|OPC Core Components Redistributable (x64) 106.0|OPC Core Components Redistributable (x64) 106.0|OPC Foundation|Web Filtering Proxy|Web Filtering Proxy|Diladele B.V.|Notepad++|Notepad++|Notepad++ Team",31323a57787a3374326a4476707a5749545244636b32636b5333507651416b6c416b446f33674e69636373544e696363737268413a57787a33676a5470504430515851376c373033674e696350544e69635069,333a6b4f596a794d314b387662336a6b76693a576a31684454
f3b4a36a-05d1-11ee-900f-00505699f5f7,263ed807-0bf4-4832-91ab-e402786626ab,,Microsoft® Windows Server® 2008 Standard(Hyper-V 불포함) ,6.0.6002,,64-bit,,"StellarProtect|StellarProtect|TXOne|OPC UA SDK 1.1 Redistributables 331.0|OPC UA SDK 1.1 Redistributables 331.0|OPC Foundation|VMware Tools|VMware Tools|VMware, Inc.|IGSS32 10.0|IGSS32 10.0|7-Technologies A/S|OPC Core Components Redistributable (x64) 101.2|OPC Core Components Redistributable (x64) 101.2|OPC Foundation",363a57794b42646834615a2b49775a4e69384e69354a754f5544754f55344f57366f52627373314d41556967504e33434441556967504e33432b3a57704e4d49753343553955344f57366f52627373314d4e6963694e696378,333a6b4f59794b427241655664524c422b4b554e4d4674685656463452364b693a57794b42646834615a2b496a
f3b4a36a-05d1-11ee-900f-00505699f5f7,2ff580d7-ac86-4ceb-a7d0-563a9edf3f3b,,Microsoft Windows 10 Pro,10.0.19045,,64비트,,"StellarProtect|StellarProtect|TXOne|Wireshark 4.0.4 64-bit|Wireshark 4.0.4 64-bit|The Wireshark developer community, https://www.wireshark.org|Modbus Slave 8.2.1|Modbus Slave 8.2.1|Witte Software|IGSS32 16.0|IGSS32 16.0|Schneider Electric Danmark A/S|OPC Core Components Redistributable (x64) 106.0|OPC Core Components Redistributable (x64) 106.0|OPC Foundation|Web Filtering Proxy|Web Filtering Proxy|Diladele B.V.|Npcap|Npcap|Nmap Project",31323a577873336433507651416b6c416b44726a4476707a46314d4e69636373544e696363737275744b3a57787333645851376c37766a547068794e696350544e6963504373,333a6b4f596a794d314b387662336a6b76693a576a31684454
f3b4a36a-05d1-11ee-900f-00505699f5f7,38099a38-237b-4898-9ded-2365e7ab73da,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,"Chrome|Chrome|Google LLC|StellarProtect|StellarProtect|TXOne|VMware Tools|VMware Tools|VMware, Inc.",333a6b4f596a794d314b3650586b4c5167555455447758486c36584d59465441636b5370356a4e692b6a4e69354967544c76434c76434c706e3a576a3158303067557368584d534d492f6a4e69384e6935744f5770,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
f3b4a36a-05d1-11ee-900f-00505699f5f7,441c4159-6e7a-4737-b455-64177ff7e4bf,,Microsoft Windows 10 Pro,10.0.19045,,64비트,,"Trend Vision One™ Zero Trust Secure Access|Trend Vision One™ Zero Trust Secure Access|Trend Micro Inc.|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham|Wireshark 4.0.4 64-bit|Wireshark 4.0.4 64-bit|The Wireshark developer community, https://www.wireshark.org|Modbus Slave 8.2.1|Modbus Slave 8.2.1|Witte Software|IGSS32 16.0|IGSS32 16.0|Schneider Electric Danmark A/S|Notepad++|Notepad++|Notepad++ Team|OPC Core Components Redistributable (x64) 106.0|OPC Core Components Redistributable (x64) 106.0|OPC Foundation|pgAdmin III 1.14|pgAdmin III 1.14|The pgAdmin Development Team|Npcap|Npcap|Nmap Project|Web Filtering Proxy|Web Filtering Proxy|Diladele B.V.|StellarProtect|StellarProtect|TXOne",32343a57785a5773575830515851376c37766a5470784e4d4e696350544e696350722f3333773a576e5773574a67785863676344663377,333a6b4f596a794d314b387662336a6b76693a576a31684454
f3b4a36a-05d1-11ee-900f-00505699f5f7,5680a052-7e49-4757-84e6-68c5fe6db5ce,,Microsoft Windows 10 Pro,10.0.19045,,64비트,,Trend Micro Portable Security 3|Trend Micro Portable Security 3|Trend Micro Inc.|OPC Core Components Redistributable (x64) 106.0|OPC Core Components Redistributable (x64) 106.0|OPC Foundation|StellarProtect|StellarProtect|TXOne|Modbus Slave 8.2.1|Modbus Slave 8.2.1|Witte Software|Npcap|Npcap|Nmap Project|PuTTY release 0.78 (64-bit)|PuTTY release 0.78 (64-bit)|Simon Tatham,31323a577866794e69636373544e69636373703343416b6c416b4474317430636b32636b353a577866794e696350544e696350703343376c37683136307a,333a6b4f596a794d314b387662336a6b76693a576a31684454
f3b4a36a-05d1-11ee-900f-00505699f5f7,569d8331-18f1-461d-b19f-e056f3000b63,,Microsoft Windows 10 Enterprise,10.0.18362,,64비트,,"Colasoft Packet Builder 1.0|Colasoft Packet Builder 1.0|Colasoft LLC.|Wireshark 3.6.3 64-bit|Wireshark 3.6.3 64-bit|The Wireshark developer community, https://www.wireshark.org|StellarProtect|StellarProtect|TXOne|USBPcap 1.5.4.0|USBPcap 1.5.4.0|Tomasz Mon|Npcap|Npcap|Nmap Project",363a576a31684f434d5756777437384e4f537a394a304e4f537a394a306c6d4a397636417662656b4d78474c57586f4b4e69384e69356877754631766455743a577873436b36524a57524a6b6d4a393645615076344b3345777546744b,333a6b4f596a794d314b38764f6d744d57417176624f4c74526b76693a576a31684f434d5756777442
f3b4a36a-05d1-11ee-900f-00505699f5f7,7ab11179-8f1d-4cb3-879e-d412e5f01b1e,,Microsoft Windows 7 Professional K ,6.1.7601,,32-bit,,"OPC UA SDK 1.1 Redistributables 331.0|OPC UA SDK 1.1 Redistributables 331.0|OPC Foundation|Chrome|Chrome|Google LLC|OPC Core Components Redistributable (x86) 101.2|OPC Core Components Redistributable (x86) 101.2|OPC Foundation|VMware Tools|VMware Tools|VMware, Inc.|IGSS32 10.0|IGSS32 10.0|7-Technologies A/S|StellarProtect|StellarProtect|TXOne",363a576a3158303067557361754f5544754f5536534d496a6b41556967504e374d6a4441556967504e374d6a2b4f57366f526273534e69384e69356e3a5778334c335539556c6b4e69634f4e6963724f57366f526273533377,333a6b4f596a794d314b3650586b4c5167555455447758486a3a576a315830306755736b
