serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture,corr_fuzzy_hash,corr_fuzzy_hash_without_apps
00eb13f0-bd54-11ed-9290-00155da02f20,aa4802a1-7560-44eb-bd6b-76230dc87def,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,,100,100
00eb13f0-bd54-11ed-9290-00155da02f20,080433a0-4521-4e90-b0d4-f82ca363e7f8,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,0960b14d-685f-4732-b97f-9733d9e2c152,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,0f3f1572-ff7f-4194-91d8-c7d0e8f22ed9,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,0fd7779f-30e8-460a-8561-ab645504513e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,16c03359-5dd2-4bdf-90e1-bfc78cd3c439,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,231ab4d4-ce8f-49b0-bd28-0098f81932dc,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,28a56fbf-602c-4544-b6ac-b8cd5bdeffba,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,4238a8f1-a5aa-44c8-a785-35315a0b163f,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,444d9db0-efb8-4943-832e-6d047e8e425a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,44de548d-1282-42e6-b1b4-5a6f12b165ec,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
00eb13f0-bd54-11ed-9290-00155da02f20,495014df-1613-4a6d-9b62-3916781cebf6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,,0,22
