serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture
00eb13f0-bd54-11ed-9290-00155da02f20,006437bb-46a9-4fbb-bf45-ef921cdf25bd,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,02031215-83d1-49dc-bcd0-786341a6bf8a,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,05651da7-2106-476b-b4cc-c98cdcd67fde,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,073d81fd-573e-4e49-9be9-412c855a548f,,Microsoft Windows 10 專業版,10.0.19045,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,080433a0-4521-4e90-b0d4-f82ca363e7f8,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,094059a2-79bb-48ff-ab3d-e135f68ea79c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0960b14d-685f-4732-b97f-9733d9e2c152,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0a08ff1d-7bc2-4687-be1a-ed9b5943688d,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0ce2e0f7-2ebb-4950-9f28-694dba4aefd6,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,0cec3371-6608-47f6-bb0c-1416aebf3a9e,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0ec93904-30da-44c6-b181-2b07c1212cae,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0ecb0302-57a3-417f-a968-9fb557194423,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0f3f1572-ff7f-4194-91d8-c7d0e8f22ed9,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0f4da02e-67f4-47c3-b873-7b4b4f0bb772,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,0fd7779f-30e8-460a-8561-ab645504513e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,12428a8c-cc52-4330-baad-abc7fca9976a,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,13fd62d8-1745-4d7d-b657-2734939c3ed2,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,1440b3a6-3d93-4239-b889-46cd407ac7f2,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,144921c6-ec38-4b9e-b737-afd256934c51,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,1469743e-ed5c-4d26-b069-c22f065843db,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,150bbd14-4fb9-439a-aa66-37439124493d,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,1674819a-1aec-46a1-af35-62040a06c966,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,16b6a511-434d-41e6-af49-78b013da6216,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,16c03359-5dd2-4bdf-90e1-bfc78cd3c439,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,1b107cc2-609c-41df-be0d-118b93bfecfd,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,20ee380d-99f8-4d17-8541-6bd2d8636c09,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,22fc05da-0421-4ce1-8978-cf3a80f4a652,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,231ab4d4-ce8f-49b0-bd28-0098f81932dc,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,25d9f262-5e03-488a-a85f-c07605b61b3e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,284b19b8-162e-48d3-8d2d-29fee7b872ef,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,28a56fbf-602c-4544-b6ac-b8cd5bdeffba,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,2ef8860e-759f-4670-895c-152ff59115b1,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,31685b6f-1f14-49e1-bcf6-d002a1e3a844,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,33c0e416-40da-450d-af5e-a83c4f50358c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,35a53048-3557-46d8-8bdd-6708f2a72e7b,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,35f40273-9717-47ed-b4a1-88064ca50159,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,36a3a591-79d4-44cd-a016-2682a84aeae9,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,36fe0b16-8735-40f8-a7dc-c8187b3a2a4d,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,374076cd-ab07-4665-b704-caf5559e5941,,Microsoft Windows 10 專業版,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,37e83437-efd7-4408-9542-81d4007e085a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,399890fa-ba0b-4355-a27c-8d6c2ad76d9a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,3aeb9e1a-62ea-4f8b-8b71-283da65b7fb6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,3cb2a867-64c9-4a09-b653-ceebb6ce3803,,Microsoft Windows 10 專業版,10.0.16299,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,3cb2a867-64c9-4a09-b653-ceebb6ce3803,,Microsoft Windows 10 專業版,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,3d2885e8-b730-4e38-bf4c-2522b26a17ab,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,4012b069-6d3b-4569-8a89-bb8c8c0c8a82,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,40b344e8-85ae-4377-9c23-c0c77bd0cbd5,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,411cbe66-7ddf-4f4e-9dff-5437a36b27b8,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,4238a8f1-a5aa-44c8-a785-35315a0b163f,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,444d9db0-efb8-4943-832e-6d047e8e425a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,44de548d-1282-42e6-b1b4-5a6f12b165ec,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,4515aa29-7210-450f-bb10-caf178e44234,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,495014df-1613-4a6d-9b62-3916781cebf6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,4e722e6e-7468-4233-93b4-6770f133027c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,4e8d5a3b-a1cd-4a8f-8bde-d86b972e90d3,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,51929c11-2f4c-47e8-9085-9c91c65d05ed,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,54e8ff8a-91bb-457d-a8a1-37f871dbd932,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,56801e16-a7c3-47c8-882b-6ffe74a2f203,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,579eaada-22a8-4b46-86bc-dc663d22d248,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,58cffbe3-98d8-45d8-b2b3-3a0fe8f42702,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,5b510cf0-f23d-4b48-8e42-673dfeab84b1,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,5f594951-3f6d-4943-b4b8-05bca984df0c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,5fce7060-02a5-45fe-9053-730baa842a8c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,5fd2707d-e60b-4f13-8588-0a8797340761,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,608dc721-1d62-4831-9ea8-24c24cdb84ca,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6148b64e-1536-4c1e-97fa-856b5bd94bb4,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,617a7e76-e27f-4357-a56a-d18c920ba882,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,62bbd046-ff27-46ec-89fa-ce95c0520ad3,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,64929750-4530-42b6-9c5c-a4077cfafa28,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,66fa06d1-4f2c-4753-801d-c3e42f93c7c2,,Microsoft Windows 10 專業版,10.0.16299,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,66fbba16-1022-4cd3-ac3e-a88dfcdcc5e0,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6b13cb16-fc0e-4b1e-a850-2a29765389ed,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6c97f9e3-30c0-4761-a997-40e85cb7c060,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6e7516e7-f50a-4ba6-aa91-8c6546cc7ad2,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6f2defce-d128-4af2-b671-65183a3985a9,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,6fca487f-93fa-4c66-a692-466f8d668a20,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,701803e3-451f-455e-97a0-a37fb0052d41,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,70d395cd-64c4-449b-b8b4-5439a44ed311,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,71c1b5dd-c8f3-49bd-8c5b-44481bbbac89,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,73bb1655-e281-416e-b53f-57988e52810a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,74788593-fc21-404b-b392-65f1d3003b0a,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,765cedb2-a57a-49c3-9d0d-c0d7af3785c0,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,766ba16e-324e-49cf-bf83-c050992ca634,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,77f99136-9ea1-47c7-8332-eaeba764ad01,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,7bcba51d-c762-411e-b043-80f1a4459bf7,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,7c0c2511-03b8-4356-a9b0-de55b6acf8d0,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,7c860f85-0011-4a18-af01-fb76b4d40fff,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,7fa74166-5b57-4700-8305-65807d131190,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,809f3083-6554-4e8f-a8e4-712d869346d6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,80beff09-248f-4786-a626-3df52f066fdf,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,81eb6ff6-a85f-4b38-a57d-088bdc8f3a1e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,830e21b2-0349-4724-b577-00186fae7dfd,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,846fc250-555d-4424-b8ff-4f67e2dec201,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,847f0cff-cb51-42ec-ac41-0a311b6f0791,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,8509c205-5e42-438a-befa-dd9fcef8dda7,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,85bd9d6a-4721-48bd-82a2-6b6c498c0214,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,861c3b86-7dfa-474b-8ff0-b3673bc8ffb6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,872e26b3-87f5-45af-9402-812d3d5be32b,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,8a97fa4d-f26b-4b8c-aaa6-ce1b66576c2e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
